Airline_Name,Airport_Name,Avg_Departure_Delay
"Alaska Airlines Inc.",Adak,33.5556
"Allegiant Air","Central Nebraska Regional",56.5714
"American Airlines Inc.","Yampa Valley",54.1923
"Delta Air Lines Inc.","Myrtle Beach International",18.9032
"Endeavor Air Inc.","Sarasota/Bradenton International",79.5714
"Envoy Air","Phoenix Sky Harbor International",64.25
"Frontier Airlines Inc.","Bismarck Municipal",39
"Hawaiian Airlines Inc.","John F. Kennedy International",218.8571
"JetBlue Airways","Albuquerque International Sunport",36.0909
"Mesa Airlines Inc.","Burlington International",51.1667
"PSA Airlines Inc.","Des Moines International",51.0968
"Republic Airline","Fort Lauderdale-Hollywood International",35
"SkyWest Airlines Inc.","Pellston Regional Airport of Emmet County",74.2642
"Southwest Airlines Co.","Memphis International",15.0738
"Spirit Air Lines","Minneapolis-St Paul International",30.3519
"United Air Lines Inc.","Glacier Park International",55.6452
