FlightDate,Total_Flights,Avg_Flights_Preceding_3_Days
01/12/20,11990,NULL
02/12/20,9978,NULL
03/12/20,11931,NULL
04/12/20,12009,11299.67
05/12/20,10037,11306
06/12/20,12137,11325.67
07/12/20,11952,11394.33
08/12/20,9306,11375.33
09/12/20,9797,11131.67
10/12/20,11913,10351.67
11/12/20,11972,10338.67
12/12/20,10015,11227.33
13/12/20,12101,11300
14/12/20,11903,11362.67
15/12/20,9328,11339.67
16/12/20,10136,11110.67
17/12/20,13186,10455.67
18/12/20,13782,10883.33
19/12/20,13897,12368
20/12/20,13903,13621.67
21/12/20,13828,13860.67
22/12/20,13607,13876
23/12/20,14334,13779.33
24/12/20,10025,13923
25/12/20,8894,12655.33
26/12/20,13854,11084.33
27/12/20,14378,10924.33
28/12/20,13827,12375.33
29/12/20,13508,14019.67
30/12/20,13814,13904.33
31/12/20,10015,13716.33
